home_team_name,away_team_name,match_date,home_team_score,away_team_score,total_goals,is_knockout_stage,home_team_mean_goals,away_team_mean_goals,home_team_mean_conceded,away_team_mean_conceded
Italy,Belgium,1954-06-20,4,1,5,False,1.5421686746987953,1.3529411764705883,0.927710843373494,1.4509803921568627
England,Switzerland,1954-06-20,2,0,2,False,1.4054054054054055,1.3414634146341464,0.918918918918919,1.7804878048780488
West Germany,Türkiye,1954-06-23,7,2,9,False,2.1129032258064515,2.0,1.2419354838709677,1.7
Switzerland,Italy,1954-06-23,4,1,5,False,1.3414634146341464,1.5421686746987953,1.7804878048780488,0.927710843373494
Austria,Switzerland,1954-06-26,7,5,12,True,1.4827586206896552,1.3414634146341464,1.6206896551724137,1.7804878048780488
Uruguay,England,1954-06-26,4,2,6,True,1.5084745762711864,1.4054054054054055,1.2881355932203389,0.918918918918919
Hungary,Brazil,1954-06-27,4,2,6,True,2.71875,2.0789473684210527,1.78125,0.9473684210526315
West Germany,Yugoslavia,1954-06-27,2,0,2,True,2.1129032258064515,1.6216216216216217,1.2419354838709677,1.2432432432432432
Hungary,Uruguay,1954-06-30,4,2,6,True,2.71875,1.5084745762711864,1.78125,1.2881355932203389
West Germany,Austria,1954-06-30,6,1,7,True,2.1129032258064515,1.4827586206896552,1.2419354838709677,1.6206896551724137
Austria,Uruguay,1954-07-03,3,1,4,True,1.4827586206896552,1.5084745762711864,1.6206896551724137,1.2881355932203389
West Germany,Hungary,1954-07-04,3,2,5,True,2.1129032258064515,2.71875,1.2419354838709677,1.78125
Sweden,Mexico,1958-06-08,3,0,3,False,1.5686274509803921,1.0333333333333334,1.4313725490196079,1.6833333333333333
Argentina,West Germany,1958-06-08,1,3,4,False,1.7272727272727273,2.1129032258064515,1.1477272727272727,1.2419354838709677
Northern Ireland,Czechia,1958-06-08,1,0,1,False,1.0,1.4242424242424243,1.7692307692307692,1.4848484848484849
France,Paraguay,1958-06-08,7,3,10,False,1.8630136986301369,1.1111111111111112,1.1643835616438356,1.4074074074074074
Yugoslavia,Scotland,1958-06-08,1,1,2,False,1.6216216216216217,1.0869565217391304,1.2432432432432432,1.7826086956521738
Hungary,Wales,1958-06-08,1,1,2,False,2.71875,0.625,1.78125,1.25
Brazil,Austria,1958-06-08,3,0,3,False,2.0789473684210527,1.4827586206896552,0.9473684210526315,1.6206896551724137
Soviet Union,England,1958-06-08,2,2,4,False,1.7096774193548387,1.4054054054054055,1.096774193548387,0.918918918918919
Argentina,Northern Ireland,1958-06-11,3,1,4,False,1.7272727272727273,1.0,1.1477272727272727,1.7692307692307692
West Germany,Czechia,1958-06-11,2,2,4,False,2.1129032258064515,1.4242424242424243,1.2419354838709677,1.4848484848484849
Paraguay,Scotland,1958-06-11,3,2,5,False,1.1111111111111112,1.0869565217391304,1.4074074074074074,1.7826086956521738
Yugoslavia,France,1958-06-11,3,2,5,False,1.6216216216216217,1.8630136986301369,1.2432432432432432,1.1643835616438356
Mexico,Wales,1958-06-11,1,1,2,False,1.0333333333333334,0.625,1.6833333333333333,1.25
Brazil,England,1958-06-11,0,0,0,False,2.0789473684210527,1.4054054054054055,0.9473684210526315,0.918918918918919
Soviet Union,Austria,1958-06-11,2,0,2,False,1.7096774193548387,1.4827586206896552,1.096774193548387,1.6206896551724137
Sweden,Hungary,1958-06-12,2,1,3,False,1.5686274509803921,2.71875,1.4313725490196079,1.78125
Sweden,Wales,1958-06-15,0,0,0,False,1.5686274509803921,0.625,1.4313725490196079,1.25
Czechia,Argentina,1958-06-15,6,1,7,False,1.4242424242424243,1.7272727272727273,1.4848484848484849,1.1477272727272727
West Germany,Northern Ireland,1958-06-15,2,2,4,False,2.1129032258064515,1.0,1.2419354838709677,1.7692307692307692
France,Scotland,1958-06-15,2,1,3,False,1.8630136986301369,1.0869565217391304,1.1643835616438356,1.7826086956521738
Paraguay,Yugoslavia,1958-06-15,3,3,6,False,1.1111111111111112,1.6216216216216217,1.4074074074074074,1.2432432432432432
Hungary,Mexico,1958-06-15,4,0,4,False,2.71875,1.0333333333333334,1.78125,1.6833333333333333
Brazil,Soviet Union,1958-06-15,2,0,2,False,2.0789473684210527,1.7096774193548387,0.9473684210526315,1.096774193548387
England,Austria,1958-06-15,2,2,4,False,1.4054054054054055,1.4827586206896552,0.918918918918919,1.6206896551724137
Northern Ireland,Czechia,1958-06-17,2,1,3,False,1.0,1.4242424242424243,1.7692307692307692,1.4848484848484849
Wales,Hungary,1958-06-17,2,1,3,False,0.625,2.71875,1.25,1.78125
Soviet Union,England,1958-06-17,1,0,1,False,1.7096774193548387,1.4054054054054055,1.096774193548387,0.918918918918919
Brazil,Wales,1958-06-19,1,0,1,True,2.0789473684210527,0.625,0.9473684210526315,1.25
France,Northern Ireland,1958-06-19,4,0,4,True,1.8630136986301369,1.0,1.1643835616438356,1.7692307692307692
Sweden,Soviet Union,1958-06-19,2,0,2,True,1.5686274509803921,1.7096774193548387,1.4313725490196079,1.096774193548387
West Germany,Yugoslavia,1958-06-19,1,0,1,True,2.1129032258064515,1.6216216216216217,1.2419354838709677,1.2432432432432432
Brazil,France,1958-06-24,5,2,7,True,2.0789473684210527,1.8630136986301369,0.9473684210526315,1.1643835616438356
Sweden,West Germany,1958-06-24,3,1,4,True,1.5686274509803921,2.1129032258064515,1.4313725490196079,1.2419354838709677
France,West Germany,1958-06-28,6,3,9,True,1.8630136986301369,2.1129032258064515,1.1643835616438356,1.2419354838709677
Brazil,Sweden,1958-06-29,5,2,7,True,2.0789473684210527,1.5686274509803921,0.9473684210526315,1.4313725490196079
Uruguay,Colombia,1962-05-30,2,1,3,False,1.5084745762711864,1.4545454545454546,1.2881355932203389,1.3636363636363635
Chile,Switzerland,1962-05-30,3,1,4,False,1.2121212121212122,1.3414634146341464,1.4848484848484849,1.7804878048780488
Brazil,Mexico,1962-05-30,2,0,2,False,2.0789473684210527,1.0333333333333334,0.9473684210526315,1.6833333333333333
Argentina,Bulgaria,1962-05-30,1,0,1,False,1.7272727272727273,0.8461538461538461,1.1477272727272727,2.0384615384615383
